model,ade_all,ade_slight,ade_straight,ade_turn,ade_uturn,fde_all,rot_deg,trans_frac
full01,0.6097830412915544,0.5842076460352916,0.49820015302168047,0.7745980086109855,0.8472719256804414,1.005728591142391,0.0,0.0
full01,0.613938427895864,0.5857662268398095,0.5022407808861351,0.7836913258288846,0.8367341105660348,1.01374223889378,20.0,0.06
full01,0.6467878496888668,0.6193929450952412,0.534632773778231,0.8156671969457107,0.8751904707248896,1.0967248789301316,40.0,0.12
full01,0.7263288593888578,0.7107597591240735,0.6213671783987875,0.8748816056955945,0.9467021379977056,1.2803922906586924,60.0,0.18
full01,0.8392704646943305,0.8348360750223359,0.7522362753076008,0.9554758033517635,1.0218238303922627,1.5234027970963886,80.0,0.24
